Model,Purchasing Year,Post ODO,Warranty Type,Symptom Code,Damage Code,Related Parts,Related Parts Quantity,Repair Location,Estimated Amount,Labor Hours,Sublet Code,Sublet Amount,Prior ODO,Authorized By,Dealer Code,Warrenty Status,ReasonCode,Generation Logic
MAZDA3_SEDAN,2006,20877,P,18,9A,"['E01', 'B01']","[2, 1]",['P01'],2008.73,6.5,"['A1', '']",219.89,20515,W,D130,A,ACP,"MAZDA3_SEDAN purchased in 2006; 18 leads to 9A; ['E01', 'B01'] used in ['P01']; ODO 20515->20877 logically increases"
MAZDA_CX_90,2024,37621,A,69,9B,"['E01', 'E02']","[1, 1]","['W01', 'N01']",2386.97,2,"['B5', 'E9']",278.55,37291,W,D084,A,ACP,"MAZDA_CX_90 purchased in 2024; 69 leads to 9B; ['E01', 'E02'] used in ['W01', 'N01']; ODO 37291->37621 logically increases"
MAZDA_CX_50,2024,18099,P,67,9B,"['T01', 'S01']","[1, 1]",['F02'],503.07,8.6,"['B5', 'A1']",341.82,17735,C,D055,A,ACP,"MAZDA_CX_50 purchased in 2024; 67 leads to 9B; ['T01', 'S01'] used in ['F02']; ODO 17735->18099 logically increases"
MAZDA_CX_50_HYBRID,2025,55695,P,41,9C,"['S01', 'T01']","[1, 2]","['N01', 'H01']",434.79,5.3,"['K1', 'C1']",172.24,55337,C,D138,A,ACP,"MAZDA_CX_50_HYBRID purchased in 2025; 41 leads to 9C; ['S01', 'T01'] used in ['N01', 'H01']; ODO 55337->55695 logically increases"
MAZDA_MX_5_MIATA,1995,63556,P,11,9C,['E02'],[1],"['F02', 'F01']",941.96,4,['B5'],72.37,63355,W,D040,A,ACP,"MAZDA_MX_5_MIATA purchased in 1995; 11 leads to 9C; ['E02'] used in ['F02', 'F01']; ODO 63355->63556 logically increases"
MAZDA_CX_90_PHEV,2024,61263,R,03,9F,['H01'],[1],['F01'],1561.24,3.9,['B5'],279.79,60972,C,D124,R,PID,MAZDA_CX_90_PHEV purchased in 2024; 03 leads to 9F; ['H01'] used in ['F01']; ODO 60972->61263 logically increases
MAZDA_CX_50,2022,146885,R,51,9A,"['S01', 'E01']","[2, 1]",['H01'],2316.01,9.2,"['', 'D1']",0,146643,W,D058,R,DSA,"MAZDA_CX_50 purchased in 2022; 51 leads to 9A; ['S01', 'E01'] used in ['H01']; ODO 146643->146885 logically increases"
MAZDA_CX_50_HYBRID,2025,128754,P,52,9E,"['E02', 'S01']","[2, 2]","['W01', 'P01']",1460.06,8.1,['F1'],366.98,128300,C,D085,A,ACP,"MAZDA_CX_50_HYBRID purchased in 2025; 52 leads to 9E; ['E02', 'S01'] used in ['W01', 'P01']; ODO 128300->128754 logically increases"
MAZDA_CX_90_PHEV,2025,39082,A,37,81,"['S01', 'T01']","[1, 2]",['F02'],1770.52,3.8,['F1'],431.53,38784,C,D103,R,WEX,"MAZDA_CX_90_PHEV purchased in 2025; 37 leads to 81; ['S01', 'T01'] used in ['F02']; ODO 38784->39082 logically increases"
MAZDA3_SEDAN,2003,113524,A,45,9A,['L01'],[1],"['P01', 'F01']",2063.43,1,"['F1', 'D1']",85.57,113251,T,D140,A,ACP,"MAZDA3_SEDAN purchased in 2003; 45 leads to 9A; ['L01'] used in ['P01', 'F01']; ODO 113251->113524 logically increases"
MAZDA_MX_5_MIATA,2022,82977,P,18,9E,"['B01', 'T01']","[2, 1]","['H05', 'W01']",1918.57,4.5,"['A1', 'C1']",86.63,82769,C,D041,R,RNT,"MAZDA_MX_5_MIATA purchased in 2022; 18 leads to 9E; ['B01', 'T01'] used in ['H05', 'W01']; ODO 82769->82977 logically increases"
MAZDA3_SEDAN,2008,39356,R,65,9D,['B01'],[2],"['F02', 'H05']",760.34,8,['B5'],328.81,38904,C,D106,A,ACP,"MAZDA3_SEDAN purchased in 2008; 65 leads to 9D; ['B01'] used in ['F02', 'H05']; ODO 38904->39356 logically increases"
MAZDA_MX_5_MIATA_RF,2023,55873,K,92,8Z,"['S01', 'T01']","[2, 1]",['H01'],672.69,9.6,"['B5', 'K1']",406.22,55469,W,D062,A,ACP,"MAZDA_MX_5_MIATA_RF purchased in 2023; 92 leads to 8Z; ['S01', 'T01'] used in ['H01']; ODO 55469->55873 logically increases"
MAZDA_MX_5_MIATA_RF,2023,70567,A,52,9F,"['T01', 'E02']","[2, 1]",['F02'],2034.91,8.2,"['D1', 'F1']",164.81,70187,C,D092,A,ACP,"MAZDA_MX_5_MIATA_RF purchased in 2023; 52 leads to 9F; ['T01', 'E02'] used in ['F02']; ODO 70187->70567 logically increases"
